0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:05:26 +0700] "GET /CrmWeb/project/edit?id=4 HTTP/1.1" 200 6207
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:05:26 +0700] "GET /CrmWeb/static/css/style.css HTTP/1.1" 200 5567
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:05:28 +0700] "GET /CrmWeb/project HTTP/1.1" 200 7373
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:05:28 +0700] "GET /CrmWeb/static/css/style.css HTTP/1.1" 200 5567
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:05:30 +0700] "GET /CrmWeb/project/edit?id=5 HTTP/1.1" 200 6208
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:05:30 +0700] "GET /CrmWeb/static/css/style.css HTTP/1.1" 200 5567
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:05:42 +0700] "POST /CrmWeb/project/edit HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:05:42 +0700] "GET /CrmWeb/project HTTP/1.1" 200 7375
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:05:42 +0700] "GET /CrmWeb/static/css/style.css HTTP/1.1" 200 5567
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:05:51 +0700] "GET /CrmWeb/task HTTP/1.1" 200 7212
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:05:52 +0700] "GET /CrmWeb/static/css/style.css HTTP/1.1" 200 5567
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:05:58 +0700] "GET /CrmWeb/task/add HTTP/1.1" 200 7321
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:05:58 +0700] "GET /CrmWeb/static/css/style.css HTTP/1.1" 200 5567
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:06:36 +0700] "POST /CrmWeb/task/add HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:06:36 +0700] "GET /CrmWeb/task HTTP/1.1" 200 7749
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:06:36 +0700] "GET /CrmWeb/static/css/style.css HTTP/1.1" 200 5567
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:06:42 +0700] "GET /CrmWeb/task/edit?id=5 HTTP/1.1" 200 7390
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:06:42 +0700] "GET /CrmWeb/static/css/style.css HTTP/1.1" 200 5567
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:06:53 +0700] "POST /CrmWeb/task/edit HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:06:53 +0700] "GET /CrmWeb/task HTTP/1.1" 200 7751
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:06:53 +0700] "GET /CrmWeb/static/css/style.css HTTP/1.1" 200 5567
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:07:08 +0700] "GET /CrmWeb/project HTTP/1.1" 200 7375
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:07:08 +0700] "GET /CrmWeb/static/css/style.css HTTP/1.1" 200 5567
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:07:14 +0700] "GET /CrmWeb/project/delete?id=5 HTTP/1.1" 200 7393
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:07:14 +0700] "GET /CrmWeb/static/css/style.css HTTP/1.1" 200 5567
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:07:18 +0700] "GET /CrmWeb/task HTTP/1.1" 200 7751
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:07:18 +0700] "GET /CrmWeb/static/css/style.css HTTP/1.1" 200 5567
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:07:24 +0700] "GET /CrmWeb/task/delete?id=5 HTTP/1.1" 200 7212
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:07:24 +0700] "GET /CrmWeb/static/css/style.css HTTP/1.1" 200 5567
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:07:26 +0700] "GET /CrmWeb/project HTTP/1.1" 200 7375
